;refmc;t+10mcs;t-10mcs;afp+15;afp-15
347;44.32398577;38.49972926;41.63575939;46.34479039;36.93424589
348;20.34585207;10;30.19202612;12.35463057;27.61779471
349;19.44327531;10;30.38804026;10.00000524;29.4906304
350;26.72792483;19.77924002;31.57540389;20.90864876;28.84706689
351;37.9713752;34.88227457;37.88926452;38.92082956;41.45044419
352;39.59306408;35.3217338;37.43240932;43.41432656;39.24620335
353;37.1320129;36.02906315;39.02182092;38.11703514;35.97590445
354;40.51596413;39.25324218;41.51832079;41.28480167;34.19708908
355;25.13335828;10;32.23090774;12.02421541;26.74002916
356;39.17071861;36.61921895;37.40575702;40.28530276;38.29188243
357;29.18893875;23.93746471;35.93879805;27.13725694;34.30111459
358;20.2851679;10;30.54422514;10.00000132;26.83512623
359;21.78318323;10;28.08137911;10.00000007;27.20649661
360;38.69338002;35.45991869;39.25184361;43.31737505;38.20264676
361;37.97194086;35.96333899;41.05747446;42.1269321;34.06734627
362;20.95651429;10;33.19177864;11.73132861;27.30303633
363;17.32104577;10;31.61476922;14.14115863;30.40307292
364;40.11014701;30.87457586;39.20438975;34.86805442;36.9648423
365;39.47310481;39.55171688;38.48991241;42.29212215;36.24526016
366;36.98906508;34.00656945;37.85107663;45.63644974;39.49174575
367;39.38194872;37.20500803;38.00242411;42.59510626;36.30013254
368;18.9191515;10;31.5905695;10;27.24361689
369;30.06204713;24.298589;34.04580159;24.34000747;28.78952769
370;36.71920594;37.75240868;38.59462789;44.98098895;39.57626189
371;23.35089897;10;33.67019458;11.45014761;31.06006823
372;21.21603246;10;33.38122589;12.60521463;28.12039559
373;21.68987367;10.0001797;32.67514604;10.12382566;30.65072962
374;23.45275646;15.56427476;35.28131155;16.76196874;30.06460349
375;18.06785336;10;30.680918;10;26.59622615
376;18.57305673;10;35.02903043;12.3781679;27.83275734
377;31.41776298;21.39556289;33.71622343;30.17233459;31.87527986
378;35.73493185;33.61187918;38.09742474;33.81465504;33.48506637
379;29.04177437;20.7157634;33.95758479;21.02673631;33.98708293
380;18.43001588;10;25.78120359;10;25.72041317
381;41.11463527;43.3063364;38.98474804;45.05615;34.95016958
382;19.0569525;10;32.54970074;10;27.84836515
383;25.0658942;10.63384894;33.22132077;11.65544508;27.88666577
384;18.80539504;10;29.69418927;10.00000055;27.17203615
385;19.56232155;10;28.61762602;10.00004203;26.48210258
386;33.81266935;31.86660855;35.92458974;30.17967484;35.16428757
387;40.34094234;36.1552515;40.76564351;38.90382916;38.24014648
388;38.88023868;37.61866423;40.37427726;46.30310836;39.66436053
389;21.47680989;10;34.82466599;10.0000328;26.20587882
390;31.00154714;30.71997188;35.0535452;35.10749777;35.62780919
391;35.65415449;31.22202235;39.88851748;33.2846548;36.0429537
392;17.66083598;10;32.17200617;10;24.88865333
393;30.48817907;24.96817938;35.92710195;27.00251223;38.67113371
394;36.92630377;31.48492674;35.99508192;31.77006333;33.13913828
395;22.76169619;10;33.00939851;10.00017489;27.93500056
396;23.2706338;10;31.43545866;10.00019932;28.07565867
397;30.16527923;25.73905576;34.20891015;29.96961967;30.09238128
398;40.21422121;36.4978142;45.80932857;42.92135464;37.16167272
399;21.94928413;10;33.07118562;10.01479805;29.74284637
400;31.2987341;26.17998788;29.80448001;30.7451276;34.23188531
401;22.45193422;10;32.00032127;10.00000007;29.34312712
402;20.60755441;10;28.68470713;10.62404876;29.02246315
403;21.76185391;10;30.87234251;10;26.13901388
404;34.75789901;27.99099985;36.02842749;30.39506345;34.14956913
405;31.90388508;26.38450701;32.84152669;28.96894373;30.73621075
406;38.93410153;39.80134384;38.55741448;45.13552072;39.33004493
407;40.1493337;35.02301413;40.61489678;43.02590744;37.45525843
408;36.11735082;36.35936478;42.94176277;42.53412515;38.21008383
409;19.56341736;10;31.1267126;10;29.61126865
410;34.82893801;32.16224448;36.73530203;32.99900185;34.69645706
411;22.44623907;10;34.33696852;10.00316316;26.77271841
412;19.4884582;10;34.37073521;10;26.27076383
413;22.68867102;10;26.23407674;11.65741368;28.90175232
414;18.10035631;10;27.79748535;10;28.88588631
415;26.65534664;20.7402867;35.08480213;22.41311037;33.28661333
416;20.03653817;10;28.48653547;10.00000003;29.20380995
417;21.1055628;10;30.17719187;10;27.7835659
418;21.64253893;10;29.34959325;10;26.85136478
419;19.79162208;10;29.61514813;10;27.00345433
420;38.58000341;29.33836336;37.75000583;33.87978347;33.5701775
421;21.73099227;10;29.89208445;10.0000009;27.90225019
422;20.05621577;10;34.09389774;11.86686628;28.66532101
423;22.07311079;10;33.21217574;10.00000351;27.23272958
424;39.363955;40.88750386;42.7074486;42.27480058;35.74693096
425;30.53683563;24.09769836;33.39564177;25.92562123;32.01464574
426;18.54593764;10;30.18696428;14.52843165;27.41133564
427;21.99325518;10;29.39282727;10.00000002;29.13320741
428;18.67404744;10;28.43623009;10.28781646;28.08217057
429;17.96219506;10;28.25091621;10.00002049;26.04217052
430;22.34389382;10.00032913;31.23922084;14.07329748;29.86580667
431;21.56410652;10;32.12187774;12.68068812;30.62520649
432;21.55522866;10.54216801;32.61786842;17.82350935;25.86343985
433;22.09136642;12.20468264;31.87205035;17.73945907;30.77157342
434;33.16778248;32.71689096;32.48393364;36.64596765;38.07417808
435;21.94446645;10;34.7537876;10.30688439;25.86526457
436;20.06484814;10;29.94594765;10.00000001;27.3030325
437;31.18081845;26.84877322;40.90999281;31.44888487;35.11254217
438;27.89821646;20.5701282;35.56000439;20.70566364;32.74946378
439;30.65771094;28.87788719;34.157584;29.87412712;30.40471374
